"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GeneID:97329111",29.6161338042466,8.86656797244535,1.73538486344417,5.10928045946426,3.23388014876694e-07,1.79955626794674e-05
"GeneID:97329417",21.9036733639857,7.07407774591847,1.38561346771813,5.1053760018429,3.30137412038696e-07,1.80255026973128e-05
"GeneID:97330441",45.0513477002822,7.71157087967313,1.52180390173563,5.06738803263548,4.03311591578139e-07,1.82198257725588e-05
"GeneID:97328178",39.491718777877,8.92439574598289,1.75613575513871,5.08183705039249,3.73802018539391e-07,1.82198257725588e-05
"GeneID:97328255",15.219867916533,9.21158562126311,1.80843833313902,5.09366863799771,3.51200372919304e-07,1.82198257725588e-05
"GeneID:97328288",19.9329319223838,8.29457537895369,1.6267497114338,5.09886390060763,3.41698114308126e-07,1.82198257725588e-05
"GeneID:97328579",45.4478503737815,8.39343680877636,1.65527747543844,5.07071287643369,3.96328323453922e-07,1.82198257725588e-05
"GeneID:97328651",70.6400558176944,8.60988947465223,1.69625583759605,5.0758200996698,3.85828215692714e-07,1.82198257725588e-05
"GeneID:97328737",16.172992096437,9.25376345802469,1.8168443325455,5.0933166327242,3.51853343370836e-07,1.82198257725588e-05
"GeneID:97329307",63.0716980542974,7.03151380138494,1.38874089900882,5.06322943783359,4.12213252772823e-07,1.82198257725588e-05
"GeneID:97329833",85.0448524486346,8.48001531609725,1.67277540283964,5.06942850887328,3.99011976425399e-07,1.82198257725588e-05
"GeneID:97329992",20.2132727282818,9.05136544058386,1.77927518247828,5.08710823919691,3.63564360814576e-07,1.82198257725588e-05
"GeneID:97330201",37.445525114099,8.42870271933409,1.66348825055134,5.06688443188014,4.04379618759603e-07,1.82198257725588e-05
"GeneID:97330319",19.3938359107057,9.30081816124639,1.83421437034742,5.07073672064009,3.9627866664675e-07,1.82198257725588e-05
"GeneID:97330464",42.0311570716375,9.16961204141112,1.80069088072605,5.09227438177168,3.53793599609936e-07,1.82198257725588e-05
"GeneID:97330465",31.5461958850911,9.63950459670084,1.8987322607176,5.07681087856891,3.83822568360791e-07,1.82198257725588e-05
"GeneID:97330518",54.2500920875985,10.3266033599197,2.03412801865708,5.07667327975614,3.84100508691521e-07,1.82198257725588e-05
"GeneID:97328089",21.0563980999204,9.31589079018848,1.83975686297244,5.06365323466552,4.11297492630244e-07,1.82198257725588e-05
"GeneID:82187192",15.2929006975118,8.13301009774266,1.6024677583343,5.07530342213972,3.86878141555025e-07,1.82198257725588e-05
"GeneID:97328125",39.7304668156316,10.4884476400201,2.0709287326168,5.06461061398623,4.09235962535807e-07,1.82198257725588e-05
"GeneID:97330415",11.6932334500649,9.58141825642121,1.88980838003024,5.07004750199483,3.97716424554832e-07,1.82198257725588e-05
"GeneID:82188277",15.2577711894017,10.4852075385594,2.06056882406569,5.08850149342312,3.60903940242484e-07,1.82198257725588e-05
"GeneID:97330115",19.7252352160567,8.95072803032742,1.76987226091397,5.05727346995382,4.25293155484198e-07,1.86206182509638e-05
"GeneID:97329868",34.6788778505439,8.88124667010086,1.75695269795753,5.05491506995344,4.30582337935926e-07,1.86760058912209e-05
"GeneID:97330243",39.3605016251999,8.44437838052819,1.67139445789998,5.05229530983254,4.36532070501458e-07,1.87587531407154e-05
"GeneID:97327924",64.5020109738893,8.44507333762892,1.67451846301187,5.04328469597115,4.57607613380339e-07,1.89820174310895e-05
"GeneID:97330595",51.4003043205744,8.45039340539381,1.67564000814638,5.04308405403962,4.58087901806081e-07,1.89820174310895e-05
"GeneID:82189101",20.1237296133638,9.00648361637564,1.78461066019672,5.04674986945492,4.49389058022781e-07,1.89820174310895e-05
