"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tet(Q)",10.3872394732342,4.27729088990776,1.69195471093411,2.52801736492481,0.0114708678323571,0.0203970488927085
"GeneID:97327849",77.8031117589021,8.07009828285293,1.72244671794686,4.68525278533573,2.79614613035139e-06,2.85625620375103e-05
"GeneID:97327850",108.10389738671,7.88255251465548,1.45439186375482,5.41982715325771,5.96566855781115e-08,1.12917770377187e-05
"GeneID:97327866",44.5424663010427,8.19375870904623,1.719518799486,4.76514633715869,1.88716635113691e-06,2.50070897916422e-05
"GeneID:97327877",250.354976764529,7.36287821770808,1.73643475967132,4.24022738355098,2.23293476755785e-05,7.82707723280663e-05
"GeneID:97327879",81.662988029651,6.91897339280237,1.48307388305976,4.66529245227332,3.08178415470123e-06,2.93085251269844e-05
"GeneID:97327886",148.407945785878,6.38081370136868,1.51644959955247,4.20773212855328,2.57946378458373e-05,8.71273029421622e-05
"GeneID:97327906",75.4400211312801,7.37769153128315,1.51524333340193,4.86898135015662,1.12174992774343e-06,2.20594975197341e-05
"GeneID:97327912",60.406075013728,7.59699686399899,1.47575379737668,5.14787553147653,2.63453204711656e-07,1.75772411598562e-05
"GeneID:97327920",16.1506242553537,6.99070241592553,1.67023979899691,4.1854483530592,2.84603776535905e-05,9.32800937078486e-05
"GeneID:97327921",18.1296427853603,6.78031157247409,1.74230668073491,3.89157181536729,9.95968996331226e-05,0.000249314569146344
"GeneID:97327929",240.882617658774,7.09552490981127,1.74705868674101,4.06141188253234,4.87768288027282e-05,0.000140084853699475
"GeneID:97327950",43.0749895030907,7.38844121062111,1.83607904759077,4.02403220074643,5.72100896998793e-05,0.000157480442643618
"GeneID:97327954",28.9758066821155,8.40682153386564,1.8165020402901,4.62802757574831,3.69164870067696e-06,3.09150531025036e-05
"GeneID:97328086",141.64906733046,7.1894072212971,1.47826083739135,4.86342263790473,1.15373131078451e-06,2.23283108879238e-05
"GeneID:97328087",43.935440460861,6.74909724394723,1.42138919103087,4.74824016288769,2.05194289816369e-06,2.52514356329913e-05
"GeneID:97328095",45.623406482675,7.15399269660617,1.61099390068539,4.44073232900667,8.96532544169706e-06,4.55667225931867e-05
"GeneID:97328096",166.260632930149,7.81473280737014,1.732337490945,4.51109142890347,6.44949122682083e-06,3.8671949332914e-05
"GeneID:97328109",11.8256559727809,5.0468305843477,1.92341154236213,2.62389534074945,0.00869304928781189,0.0156738312916608
"GeneID:97328143",62.7085500094115,6.27466528459083,1.50596200462638,4.16654953133931,3.09244725238573e-05,9.97362591961235e-05
"GeneID:97328144",62.2548425266041,5.28796366875237,1.48185769323792,3.56846928884105,0.000359072932837475,0.000776541230800894
"GeneID:97328168",23.494526733752,6.70321646316,1.74603443384086,3.83910897359253,0.000123481619136806,0.000297857689404322
"GeneID:97328174",34.2963128840651,8.70112076964282,1.78945563130552,4.86244007251234,1.15947488127335e-06,2.23283108879238e-05
"GeneID:97328181",41.4746951451502,6.38141529091846,1.59493649644199,4.00104662797186,6.30629283908533e-05,0.000171455800036292
"GeneID:97328203",4.22967285363576,4.30657598084554,1.43142258177347,3.00859860371203,0.0026245561889121,0.00505417646171828
"GeneID:97328211",3.67136259938163,4.99703193594172,2.23537624489408,2.23543215481316,0.0253889910868966,0.042584137200682
"GeneID:97328222",3.12957041657184,5.2340586141662,2.21144280379685,2.36680713838938,0.0179422799040296,0.0310477707064136
"GeneID:97328223",76.7125757892678,4.5196349700384,1.42429621718873,3.17324087187373,0.00150747401441478,0.00299110171051689
"GeneID:97328224",26.3011040064249,4.93303749231954,1.44346953339824,3.41748639523142,0.000632022528164665,0.00131711565029736
"GeneID:97328225",20.0173738309136,4.30501580326351,1.35366551413078,3.18026555181016,0.00147140147882727,0.00292452859239287
"GeneID:97328229",73.8710013723218,5.28284470585247,1.28274874498527,4.11837838587255,3.81547836711902e-05,0.000115736177135944
"GeneID:97328230",26.6199471908809,4.40255522529348,1.61138258242028,2.73216011723354,0.00629205541556902,0.011634035531337
"GeneID:97328240",1.8676102629787,4.10231381604699,1.84852361059363,2.21923798675722,0.0264705380083842,0.044032174515022
"GeneID:97328249",7.86888320912604,3.65183194433285,1.48211228978381,2.46393742869883,0.0137420098856348,0.0242036690243761
