"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GeneID:97329130",48.5853013462334,7.61539499950869,1.90772394461725,3.99187472642253,6.55530014787994e-05,0.00741184100527592
"GeneID:97329319",26.8490772638637,7.24966205889771,1.79985363271155,4.0279175634831,5.62730663106823e-05,0.00741184100527592
"GeneID:97330267",124.363897644921,7.99938435938229,1.98188989498398,4.03624054980458,5.43145282092238e-05,0.00741184100527592
"sdhA",9.90924873109244,6.96886698315799,1.73575197495801,4.01489791381433,5.94715303585433e-05,0.00741184100527592
"GeneID:97328675",47.4647094475536,7.74889179102487,1.9414125174156,3.99136799701909,6.56932506561127e-05,0.00741184100527592
"GeneID:97329136",22.4299479008457,8.17331575364906,2.04650586916796,3.99379052695904,6.5025315764657e-05,0.00741184100527592
"GeneID:82189064",40.9364085300341,9.894565352187,2.47519025558907,3.99749689133783,6.4015831459802e-05,0.00741184100527592
"nikC",4.70466026726437,7.74042096806514,1.90214455300002,4.06931269017232,4.71520299279427e-05,0.00741184100527592
"GeneID:97328712",25.383055269179,7.96329091423244,1.95967901712978,4.06356900524239,4.83280261957752e-05,0.00741184100527592
"GeneID:97330356",35.1762428425182,8.36177570861939,2.09925350203016,3.98321389033426,6.79895121288536e-05,0.00748382117652479
"GeneID:97329438",22.2968340723155,8.08726251474756,2.03458778556995,3.97488993697172,7.04118108845873e-05,0.00756591672671768
"GeneID:97329044",6.09585216034107,7.50446017679908,1.89134455016052,3.9677911547963,7.25418606018314e-05,0.0076135213231643
"rplV",23.6237273041257,5.72636109309017,1.44830123289614,3.95384672955036,7.69046838539151e-05,0.00771268529406042
"GeneID:97327900",27.7025553190872,7.98823500161833,2.01863364441396,3.95724851992024,7.58180395198275e-05,0.00771268529406042
"GeneID:97328879",20.4243073208997,7.55233438073403,1.91923579626023,3.93507373895917,8.31711563507519e-05,0.00781982142939465
"GeneID:97329162",47.0881891538846,7.82842803398315,1.98449947941977,3.94478714414782,7.98708939297466e-05,0.00781982142939465
"GeneID:97329660",22.6537614629244,7.46724550247999,1.89751967696132,3.93526643920657,8.31044488105494e-05,0.00781982142939465
"GeneID:97328528",54.5903801550801,6.37773397924618,1.62355226796611,3.92825910510156,8.55629984277141e-05,0.00788052677355661
"GeneID:97330499",59.0796674970369,7.53967705640355,1.92249216390807,3.92182459723361,8.78809581580683e-05,0.00793213528334725
"GeneID:97328150",43.1769946162814,7.13741539190344,1.82472947874172,3.91149234725204,9.17275633392878e-05,0.00811699006569031
"GeneID:97328476",32.1901514102175,7.49531986041765,1.91865402690447,3.90655102760267,9.36228793961915e-05,0.00812538566759639
"GeneID:97330144",33.0409270315441,6.75087810396921,1.73392002676457,3.89341953479024,9.88409973879845e-05,0.00828303818815815
"GeneID:82187667",13.4506344807679,7.52850670312275,1.93397652814166,3.89276012070157,9.91101400754576e-05,0.00828303818815815
"GeneID:97330388",21.8250041548631,7.65823225864616,1.97256209242469,3.88237829777648,0.00010343978965185,0.00833613876247857
"GeneID:82188695",7.54216228103853,8.73186974746395,2.24739136687113,3.88533562786647,0.000102188614201636,0.00833613876247857
"phnL",5.98852553773391,7.71267214664528,1.99224796392685,3.87134146265764,0.00010823804409698,0.00856979461420476
"GeneID:97328619",41.7326549888012,5.93092154435542,1.53747931322764,3.85756185031498,0.000114523705006766,0.00885643949316569
"GeneID:82187421",149.577157528734,6.30440445956992,1.63543187819542,3.8548866165715,0.000115783277220646,0.00885643949316569
"GeneID:97329330",120.930863630441,5.91366664934129,1.54188563208436,3.83534714007747,0.000125387070495465,0.00916526780657853
"GeneID:97327888",17.9627246872982,7.51337056378578,1.95783693966533,3.83758749851258,0.000124248968546178,0.00916526780657853
"GeneID:82189101",20.1237296133638,7.33533537386883,1.91307444901828,3.8343177797566,0.000125913273655632,0.00916526780657853
"GeneID:97328329",32.4302752680287,7.18339732197449,1.87748799292361,3.82606831524315,0.000130206169767085,0.00925612532342059
"GeneID:97329911",77.9281755505794,7.36407632834264,1.92571394490146,3.82407592147309,0.000131263465698852,0.00925612532342059
"GeneID:97329565",106.627236311604,6.21455818199411,1.63007487484137,3.81243725543519,0.00013760316737405,0.00928119702398359
"GeneID:97328126",54.3221369041259,6.89610844172207,1.81074272535418,3.80844188694625,0.000139845202222664,0.00928119702398359
"GeneID:97329994",132.418626152374,7.1114368651062,1.8668388312347,3.80934698064043,0.000139334307037879,0.00928119702398359
"lpxC",6.24850578616957,8.00975051853707,2.09806620223944,3.81768244967084,0.000134711159870433,0.00928119702398359
"GeneID:97330202",44.7814380050833,6.37982148842497,1.68764436114365,3.78031156048873,0.000156632230548283,0.00930106916400526
