"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"fusA",32.6231951663721,3.77417974851236,1.27233158898796,2.96634916650497,0.0030135814009128,0.0177716437093363
"rplN",6.41918057671811,3.2339210101238,1.42094943060818,2.27588747386995,0.0228527453980424,0.0482839138489539
"rplX",9.36281816401811,3.6614630539063,1.32654473138529,2.76015046253486,0.00577747458523737,0.0217306168698892
"msrA",5.75929216584235,3.98925046709005,1.68953934738195,2.36114682577334,0.0182185159084868,0.0413998803096682
"rpoE",3.26518035765682,5.06547934373667,2.16797932459175,2.3364979943665,0.0194653020127481,0.0433597768921679
"rplE",8.83344244602253,2.57278157052415,1.12497170383574,2.28697447389292,0.0221973130631439,0.0472673602809947
"tuf",24.3492521454933,4.14273707542415,1.17947543202548,3.51235554632108,0.000444153378647832,0.0114516401840487
"tsf",41.8721891694345,1.87529759812294,0.79138668155804,2.36963502396952,0.017805652272837,0.0407696137530763
"mobC",51.4717502714954,3.77107624513377,1.50059801456923,2.51304893683758,0.0119692730348279,0.0318686308001051
"GeneID:97327849",77.8031117589021,4.97764786943773,1.84959044163292,2.69121625922936,0.00711920290156374,0.0235619140343194
"GeneID:97327850",108.10389738671,4.57974081353445,1.56780546301036,2.92111548376726,0.00348780516566466,0.0183238935955595
"GeneID:97327866",44.5424663010427,5.39219110975666,1.85155975514706,2.91224255375348,0.00358843868264354,0.0184798329466503
"GeneID:97327879",81.662988029651,4.34791351444181,1.59499632614274,2.72597086474587,0.00641126573327408,0.0227290198383864
"GeneID:97327886",148.407945785878,4.54497511395431,1.61700169680572,2.81074232818223,0.00494273523813722,0.0206241192338141
"GeneID:97327906",75.4400211312801,4.75435333718264,1.62932837658611,2.91798351118411,0.00352302978995178,0.0183811513254815
"GeneID:97327912",60.406075013728,5.61433491035554,1.58419330926713,3.54397085097703,0.000394148819826355,0.0114247774544453
"GeneID:97327950",43.0749895030907,4.88690965412076,1.97068181855194,2.47980653605038,0.0131453684743001,0.0335359230777367
